order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
0,CD4_Naïve__RGS10,CD4_Naïve,RGS10,-0.5271525400309515,0.5271525400309515,RNA,model_prediction,True
1,CD4_Naïve__SOX4,CD4_Naïve,SOX4,-0.5184513707253527,0.5184513707253527,RNA,model_prediction,True
2,DC__SERPINA1,DC,SERPINA1,0.516652610579782,0.516652610579782,RNA,model_prediction,True
3,CD4_Tcm__AUTS2,CD4_Tcm,AUTS2,-0.5123972617952907,0.5123972617952907,RNA,model_prediction,True
4,CD4_Naïve__PTGER2,CD4_Naïve,PTGER2,0.5015037211090864,0.5015037211090864,RNA,model_prediction,True
5,CD4_Naïve__SYNE2,CD4_Naïve,SYNE2,0.4999017346554376,0.4999017346554376,RNA,model_prediction,True
6,CD4_Helper__SESN3,CD4_Helper,SESN3,0.4980667404853813,0.4980667404853813,RNA,model_prediction,True
7,DC__SATB1,DC,SATB1,-0.4974103653326424,0.4974103653326424,RNA,model_prediction,True
8,CD4_Naïve__TCEAL2,CD4_Naïve,TCEAL2,0.4968011395728848,0.4968011395728848,RNA,model_prediction,True
9,DC__TPPP3,DC,TPPP3,0.4945104249218235,0.4945104249218235,RNA,model_prediction,True
10,CD4_Naïve__LDOC1,CD4_Naïve,LDOC1,0.4933670850213192,0.4933670850213192,RNA,model_prediction,True
11,DC__RNF135,DC,RNF135,0.4824505800644268,0.4824505800644268,RNA,model_prediction,True
12,CD4_Tcm__KLRB1,CD4_Tcm,KLRB1,-0.4822112541326592,0.4822112541326592,RNA,model_prediction,True
13,CD4_Naïve__GYPC,CD4_Naïve,GYPC,-0.4794495406620924,0.4794495406620924,RNA,model_prediction,True
14,DC__GNAI2,DC,GNAI2,0.4631687864186734,0.4631687864186734,RNA,model_prediction,True
15,DC__S100A11,DC,S100A11,0.4556422345234334,0.4556422345234334,RNA,model_prediction,True
16,CD8_Tem__CD70,CD8_Tem,CD70,0.4532573622182037,0.4532573622182037,RNA,model_prediction,True
17,CD4_Tcm__NAP1L2,CD4_Tcm,NAP1L2,0.4501214195170759,0.4501214195170759,RNA,model_prediction,True
18,CD4_Naïve__PBXIP1,CD4_Naïve,PBXIP1,0.4491406199859868,0.4491406199859868,RNA,model_prediction,True
19,CD4_Naïve__SESN3,CD4_Naïve,SESN3,0.4467496442072934,0.4467496442072934,RNA,model_prediction,True
20,DC__PGAM1,DC,PGAM1,0.444450070393643,0.444450070393643,RNA,model_prediction,True
21,DC__ACTN1,DC,ACTN1,-0.4422837366109713,0.4422837366109713,RNA,model_prediction,True
