feature,age_pearson,abs_corr,modality
CD4_Tcm__CDKN2AIP,-0.33487600809681173,0.33487600809681173,RNA
cMono__CLK1,-0.3346702240376092,0.3346702240376092,RNA
cMono__LMNA,0.3346629553229549,0.3346629553229549,RNA
CD4_Tcm__NT5C3A,-0.33464268139642395,0.33464268139642395,RNA
cMono__EMC3,-0.3341332803914133,0.3341332803914133,RNA
NKbright__SUN2,0.33385028545552053,0.33385028545552053,RNA
CD8_CTL__STYK1,0.3335779373210266,0.3335779373210266,RNA
NKT__AP5M1,0.333354414648819,0.333354414648819,RNA
CD4_Naïve__RTKN2,-0.3333401646333586,0.3333401646333586,RNA
CD4_Tcm__MAFF,-0.3331815222279434,0.3331815222279434,RNA
cMono__CCNL1,-0.3330655802041694,0.3330655802041694,RNA
γδT2__CFH,0.332973189792496,0.332973189792496,RNA
DC__ARRB1,0.33290636654726025,0.33290636654726025,RNA
immature_T__CCND3,-0.33277707280726765,0.33277707280726765,RNA
Naïve_B__PIK3IP1,-0.33270955080406767,0.33270955080406767,RNA
cMono__CSKMT,-0.33249041775689697,0.33249041775689697,RNA
cMono__ZNF639,-0.33245752722065414,0.33245752722065414,RNA
NKT__TMBIM6,0.33222025274859895,0.33222025274859895,RNA
Naïve_B__CCND3,-0.3322135128118151,0.3322135128118151,RNA
cMono__ZFP36L2,-0.3321469777390804,0.3321469777390804,RNA
CD4_Tcm__IL18RAP,-0.33193479255793784,0.33193479255793784,RNA
Transit.NK__CSRNP1,-0.3318571370123854,0.3318571370123854,RNA
DC__ARPC1B,0.33179144716479286,0.33179144716479286,RNA
cMono__LEF1,-0.33173084307010986,0.33173084307010986,RNA
CD4_Tcm__RSL1D1,-0.33172346967221905,0.33172346967221905,RNA
DC__ITK,-0.33166986452255726,0.33166986452255726,RNA
cMono__MBTPS1,-0.33132911351156796,0.33132911351156796,RNA
CD8_CTL__EIF4A2,-0.33132323544567843,0.33132323544567843,RNA
CD8_Tem__STK39,0.3311155903791464,0.3311155903791464,RNA
CD4_Naïve__JUNB,-0.33095923218783574,0.33095923218783574,RNA
NKT__BORA,0.33089901843617237,0.33089901843617237,RNA
DC__MLLT6,-0.33076480291588634,0.33076480291588634,RNA
NKT__CCND2,0.3306415734494467,0.3306415734494467,RNA
Transit.NK__GADD45B,-0.330621008234237,0.330621008234237,RNA
CD8_CTL__SH3YL1,-0.33061417844591157,0.33061417844591157,RNA
Transit.NK__DUSP1,-0.33027271825287935,0.33027271825287935,RNA
Swit.Bm__PIK3IP1,-0.330262687814882,0.330262687814882,RNA
Naïve_B__PTPRJ,0.3301805439259469,0.3301805439259469,RNA
Transit.NK__SRSF7,-0.3301273523342601,0.3301273523342601,RNA
CD4_Tcm__NOP53,-0.3300783985350872,0.3300783985350872,RNA
NKbright__CD2BP2,0.33002626215474806,0.33002626215474806,RNA
cMono__DGKD,-0.3300047955504686,0.3300047955504686,RNA
DC__SF1,-0.3297150832320447,0.3297150832320447,RNA
CD8_Tem__DIAPH2,0.3296007296811574,0.3296007296811574,RNA
cMono__PHC3,-0.3295966415467649,0.3295966415467649,RNA
CD4_Treg__PSMB9,0.3295642496058448,0.3295642496058448,RNA
CD8_Tem__CD48,-0.32954561808426774,0.32954561808426774,RNA
NKT__PRDM8,0.3294880651473845,0.3294880651473845,RNA
CD4_Tcm__IFITM1,0.32907957749525,0.32907957749525,RNA
Prolif.T__NFKBIZ,-0.32897980523904513,0.32897980523904513,RNA
DC__CLEC2D,-0.3288438477670228,0.3288438477670228,RNA
NKT__VAMP2,0.32873674636961175,0.32873674636961175,RNA
CD4_Naïve__TOX2,-0.3286925224591778,0.3286925224591778,RNA
NKbright__EIF1,-0.3286123781970119,0.3286123781970119,RNA
CD4_Helper__MPHOSPH8,0.32842897318518927,0.32842897318518927,RNA
cMono__SETD1B,-0.32835139284653525,0.32835139284653525,RNA
NKT__STOM,0.3283231639362163,0.3283231639362163,RNA
CD4_Naïve__PIK3CB,0.3282761490482442,0.3282761490482442,RNA
cMono__VAMP5,0.32813345166180763,0.32813345166180763,RNA
cMono__WSB1,-0.3281221804473408,0.3281221804473408,RNA
Prolif.T__ATP1B3,0.32801719345164576,0.32801719345164576,RNA
γδT2__ZNF90,0.32799722104442375,0.32799722104442375,RNA
cMono__ACTG1,0.3279566003192583,0.3279566003192583,RNA
CD4_Treg__LGALS3,0.32785565247568754,0.32785565247568754,RNA
γδT2__FADD,0.32780196409086093,0.32780196409086093,RNA
CD4_Treg__EZR,0.32752449341251527,0.32752449341251527,RNA
CD8_Tem__DTNBP1,-0.32750518831659725,0.32750518831659725,RNA
cMono__NOP53,-0.3274966719135746,0.3274966719135746,RNA
cMono__HMG20B,-0.32694387484932724,0.32694387484932724,RNA
CD8_Tem__A2M,0.326876598872551,0.326876598872551,RNA
CD8_Tem__JUN,-0.3267939492358168,0.3267939492358168,RNA
DC__CMTM7,0.3267828295865067,0.3267828295865067,RNA
CD4_Tcm__C14orf132,0.32673528538030405,0.32673528538030405,RNA
cMono__HSD17B11,-0.32673186250062336,0.32673186250062336,RNA
